model,time,brier_score
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,30,0.02394700092953061
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,60,0.023417680618348556
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,90,0.02309853888022708
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,120,0.02287689263178788
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,150,0.022534600869901535
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,180,0.022340251648517755
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,210,0.022366156021533128
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,240,0.022147741628231906
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,270,0.021947344731823835
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,300,0.021881503258495246
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,330,0.02180012716765171
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,360,0.021686538882682422
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,30,0.024687900792727736
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,60,0.024131962022259496
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,90,0.023827114525616637
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,120,0.023641622938983375
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,150,0.023301173418692124
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,180,0.02314441781563996
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,210,0.023218697927836575
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,240,0.02301988593649068
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,270,0.022844640322966046
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,300,0.022804952318380294
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,330,0.02273711546717771
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,360,0.022658533451877388
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,30,0.028448134305933213
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,60,0.027809328261583798
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,90,0.027420334722101966
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,120,0.027187022289812224
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,150,0.026798256595067686
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,180,0.026636693636873775
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,210,0.02669774995410578
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,240,0.026495105333254037
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,270,0.026316791362192254
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,300,0.026260554674350237
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,330,0.026171980704113036
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,360,0.02608971182052277
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,30,0.04302163427701267
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,60,0.04231919741626345
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,90,0.04186568655982714
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,120,0.041628567916423345
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,150,0.04129687029347961
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,180,0.041100850147765454
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,210,0.04116566576549445
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,240,0.04095845610193887
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,270,0.0408002569374621
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,300,0.04069792199511526
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,330,0.040623644549669984
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,360,0.04051876638529299
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,30,0.03475017838397664
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,60,0.03419509158713816
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,90,0.033825555162006915
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,120,0.03359334131342546
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,150,0.033278570353466305
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,180,0.03308742035102886
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,210,0.033094823337792616
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,240,0.03283296713266894
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,270,0.03264049705831744
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,300,0.032562822415618975
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,330,0.03246626578359841
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,360,0.03232720341053155
