model,time,brier_score
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,30,0.0765121334773068
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,60,0.0758643395662811
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,90,0.07544190580727789
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,120,0.0753448037325447
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,150,0.07576718154567226
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,180,0.0750520791167687
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,210,0.07510474683270317
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,240,0.07561500015965801
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,270,0.07523047943969166
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,300,0.07489974658550368
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,330,0.07469152991880457
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,360,0.07489395732300631
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,30,0.05874372676608458
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,60,0.05815554509045794
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,90,0.05764957459575702
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,120,0.05756719755375009
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,150,0.057966835112855664
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,180,0.057207180960922116
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,210,0.05732994802942876
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,240,0.05793167118473448
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,270,0.05752987855233574
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,300,0.057210607161173974
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,330,0.056991656438701924
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,360,0.057240388957833885
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,30,0.0471857080256511
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,60,0.046578894909721995
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,90,0.04614737001935517
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,120,0.04609354143770173
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,150,0.046566975801565436
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,180,0.04574096993989038
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,210,0.04594143117158463
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,240,0.04668437787450981
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,270,0.04631036658447922
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,300,0.04598247069759435
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,330,0.04578889182519965
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,360,0.04614647867764109
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,30,0.09199692129576928
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,60,0.0914634567226976
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,90,0.09080878039529676
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,120,0.09059619815574153
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,150,0.090408103326405
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,180,0.08987149896909119
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,210,0.089885072350536
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,240,0.09050560914473633
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,270,0.08996592754769427
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,300,0.08988472285586498
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,330,0.09001158828461764
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,360,0.09030233027118711
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,30,0.04669063892044311
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,60,0.04483840655538021
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,90,0.043912348667834826
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,120,0.043031355921179286
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,150,0.04274411949365032
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,180,0.042815751010647496
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,210,0.04269773316053946
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,240,0.04251939426910043
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,270,0.04230133427585731
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,300,0.04185742056363538
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,330,0.04227974606083425
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,360,0.04213665130872527
